Name,Tag,Logo,Ranks,Ratings,Country
Bad News Pigs,#Q1T1,https://www.vlr.gg/img/vlr/tmp/vlr.png,158,1531,International
Justice Esports,#W1OE,https://www.vlr.gg/img/vlr/tmp/vlr.png,159,1531,Sweden
eSports Cologne Fireflies,#M1NU,https://owcdn.net/img/686e9ae79e9b0.png,160,1531,Germany
Flame Hard,#Z1CK,https://owcdn.net/img/6580d57b6bb2a.png,161,1531,Portugal
Sandkasse,#A156,https://www.vlr.gg/img/vlr/tmp/vlr.png,162,1531,International
Lost Puppies x LEO,#Z1U7,https://owcdn.net/img/68901b494a3eb.png,163,1530,Europe
90 Seconds,#T1Q2,https://owcdn.net/img/67e0ee5a4b606.png,164,1529,Italy
NXT,#Z1NI,https://owcdn.net/img/649a2957de006.png,165,1527,Europe
Monkey Momentum,#Y1KD,https://owcdn.net/img/61ee293c67a68.png,166,1527,Europe
TEAM Redgar,#W1U2,https://www.vlr.gg/img/vlr/tmp/vlr.png,167,1527,Russia
TEAM Akash1vl,#B1U2,https://www.vlr.gg/img/vlr/tmp/vlr.png,168,1527,Russia
TEAM Samuraj,#T1U2,https://www.vlr.gg/img/vlr/tmp/vlr.png,169,1527,Russia
Irish Rizz Empire,#VP0,https://owcdn.net/img/672696bf856a6.png,170,1527,Ireland
TEAM ASUKASKA,#Q1U2,https://www.vlr.gg/img/vlr/tmp/vlr.png,171,1527,Russia
SSP Numina,#Q1R9,https://owcdn.net/img/6885cc44d2a00.png,172,1526,Germany
EX0TIK GAMING,#A1C4,https://owcdn.net/img/622e13a6d77f0.png,173,1526,Europe
Asphyxia,#B1QN,https://www.vlr.gg/img/vlr/tmp/vlr.png,174,1526,Kyrgyzstan
Fenerbahçe Esports,#T1NI,https://owcdn.net/img/61d82831a3b43.png,175,1526,Turkey
HAVU Gaming,#TQF,https://owcdn.net/img/677c944fd0a60.png,176,1526,Finland
ISOSIMO,#VNC,https://www.vlr.gg/img/vlr/tmp/vlr.png,177,1526,Finland
OxA,#X1Q3,https://www.vlr.gg/img/vlr/tmp/vlr.png,178,1525,Italy
The Last Resort,#B1UK,https://www.vlr.gg/img/vlr/tmp/vlr.png,179,1525,United Kingdom
6GPA,#Z1U8,https://owcdn.net/img/686af7688c228.png,180,1525,Germany
Scythe Of Seraph,#Y1AS,https://owcdn.net/img/6332782986a8c.png,181,1524,Germany
Genei Ryodan,#M1RJ,https://owcdn.net/img/6886a98fa3779.png,182,1524,France
Lodestar Esports,#X1QD,https://owcdn.net/img/6885cecd1bd84.png,183,1524,Sweden
Royal Elites,#V1OE,https://owcdn.net/img/68643743bb7bd.png,184,1523,International
BLOK6,#Q1BG,https://www.vlr.gg/img/vlr/tmp/vlr.png,185,1523,International
Thunder Gaming,#A1RI,https://www.vlr.gg/img/vlr/tmp/vlr.png,186,1523,Spain
TODOBEW,#A1RK,https://owcdn.net/img/6883b25b186a0.png,187,1523,France
WIP Esports,#Z13M,https://owcdn.net/img/688773ebb0a5c.png,188,1523,France
Alkohooligans,#T1OT,https://www.vlr.gg/img/vlr/tmp/vlr.png,189,1522,International
Akroma,#VYM,https://owcdn.net/img/6599526db80f1.png,190,1522,France
Imperium Gaming,#X1K8,https://owcdn.net/img/66617bf6bf70e.png,191,1522,Spain
LFO,#Y1J5,https://www.vlr.gg/img/vlr/tmp/vlr.png,192,1521,Europe
Sportia Khore,#T1R7,https://owcdn.net/img/680a8eb3ca0ef.png,193,1521,International
Misa Esports,#Q1LS,https://owcdn.net/img/6887b1d2edd20.png,194,1521,Turkey
mGa eSport,#M1UD,https://owcdn.net/img/68406fcb578a1.png,195,1519,France
PURE Esports,#V1KU,https://owcdn.net/img/671ea4e7bbe66.png,196,1519,Europe
Netsservices,#X1JY,https://owcdn.net/img/67269ac664a67.png,197,1518,Denmark
K10,#V1GW,https://owcdn.net/img/6633db5150b35.png,198,1516,United Kingdom
Skelp Esports,#M1BI,https://owcdn.net/img/6184472c9516e.png,199,1516,Scotland
Sissi State Punks,#X1M7,https://owcdn.net/img/6885cc44d2a00.png,200,1516,Austria
Wintermint,#Z1PK,https://owcdn.net/img/63618b31bd8b3.png,201,1515,Europe
AVESIVM,#B1Q2,https://www.vlr.gg/img/vlr/tmp/vlr.png,202,1514,Italy
Melilla Titans,#A1O2,https://owcdn.net/img/61f3da4a05247.png,203,1514,Spain
Sila4i,#B1CR,https://owcdn.net/img/65da42b4528ea.png,204,1513,Ukraine
SOGBOX,#B1BI,https://www.vlr.gg/img/vlr/tmp/vlr.png,205,1513,International
TeamOrangeGaming,#X1NJ,https://owcdn.net/img/678aa7dadc257.png,206,1513,Germany
Team Galaga Kitsune,#Q1HV,https://owcdn.net/img/60190283036b6.png,207,1512,Spain
eGekko,#Q1R7,https://www.vlr.gg/img/vlr/tmp/vlr.png,208,1512,Spain
gli asparagi,#Y1Q3,https://owcdn.net/img/68a6867fdce90.png,209,1512,Italy
Big Brain Community,#Z1KK,https://www.vlr.gg/img/vlr/tmp/vlr.png,210,1512,Ireland
FAST LEARNER,#Q1V7,https://www.vlr.gg/img/vlr/tmp/vlr.png,211,1511,France
Still Gamblers,#X1OE,https://owcdn.net/img/66f3e7758bdb0.png,212,1511,Sweden
Honeybadger123,#Z1J5,https://www.vlr.gg/img/vlr/tmp/vlr.png,213,1511,Europe
Kaizen,#B142,https://owcdn.net/img/64176aee5aa9b.png,214,1510,International
FLOW,#Z1QO,https://www.vlr.gg/img/vlr/tmp/vlr.png,215,1510,Kyrgyzstan
Royal Legion,#B1JX,https://owcdn.net/img/66f09bcc5b1dd.png,216,1510,Europe
Pingou Esport,#Z1GE,https://owcdn.net/img/6421471114a1f.png,217,1509,France
Revenant,#W1RJ,https://owcdn.net/img/67b0e8c2f2eb0.png,218,1508,Italy
MuSe,#T1MZ,https://owcdn.net/img/67ae7cbfc8173.png,219,1508,Latvia
eQuizers,#Z1HD,https://owcdn.net/img/63ae5c5c21e61.png,220,1507,Spain
Team Legion,#V157,https://www.vlr.gg/img/vlr/tmp/vlr.png,221,1507,International
Reghium Esports GC,#Z1U3,https://www.vlr.gg/img/vlr/tmp/vlr.png,222,1507,Italy
Good Boys,#V1PX,https://www.vlr.gg/img/vlr/tmp/vlr.png,223,1505,Europe
DimoniX eSports,#Q1RV,https://owcdn.net/img/68a9e5754748b.png,224,1503,Spain
FUZOS,#W1A6,https://owcdn.net/img/6555b7171cbb6.png,225,1503,Portugal
Fire Flux Vatangame,#Z1U5,https://owcdn.net/img/67f4c38f59372.png,226,1503,Turkey
Kindergarten children,#Z172,https://www.vlr.gg/img/vlr/tmp/vlr.png,227,1503,International
Linares eSports,#Q1LB,https://www.vlr.gg/img/vlr/tmp/vlr.png,228,1503,Spain
Billy Bob Gaming,#Y1JZ,https://www.vlr.gg/img/vlr/tmp/vlr.png,229,1502,Sweden
uy pilipins,#Y1KK,https://www.vlr.gg/img/vlr/tmp/vlr.png,230,1502,Ireland
Xplosion,#W1T7,https://owcdn.net/img/6885bf0a28e8b.png,231,1502,Germany
RIZON,#X1RA,https://owcdn.net/img/657eca10317fb.png,232,1501,Germany
thegiornalisti,#B1O2,https://owcdn.net/img/68725f0baae5e.png,233,1501,Italy
RevSol Esports,#A185,https://www.vlr.gg/img/vlr/tmp/vlr.png,234,1500,International
BLX CORP,#X1AC,https://owcdn.net/img/685e4a85e9158.png,235,1499,Netherlands
THE EXPANSION PACK,#X1OL,https://www.vlr.gg/img/vlr/tmp/vlr.png,236,1498,United Kingdom
1TEN Esports,#V1T3,https://www.vlr.gg/img/vlr/tmp/vlr.png,237,1498,United Kingdom
Nuxeria,#Z1PW,https://owcdn.net/img/68406f7da7150.png,238,1497,France
PARABELLUM1,#Z1PJ,https://www.vlr.gg/img/vlr/tmp/vlr.png,239,1497,International
Blaze Norge,#B1R6,https://www.vlr.gg/img/vlr/tmp/vlr.png,240,1497,Norway
DMG Esports,#Q1JY,https://www.vlr.gg/img/vlr/tmp/vlr.png,241,1497,Norway
Tamaria Altunga Esports,#B1BX,https://owcdn.net/img/64baa47646520.png,242,1496,Turkey
Enhanced Aim,#V1JI,https://www.vlr.gg/img/vlr/tmp/vlr.png,243,1495,International
xXh34d5h0TM4573rZXx,#T1R6,https://www.vlr.gg/img/vlr/tmp/vlr.png,244,1493,Finland
Sportia Khore,#Y13F,https://owcdn.net/img/680a8eb3ca0ef.png,245,1492,International
Ionized Esports,#A1OF,https://owcdn.net/img/671ea6faa3383.png,246,1492,Norway
Solid,#A1JZ,https://www.vlr.gg/img/vlr/tmp/vlr.png,247,1491,International
Espergærde Esport Academy,#Y1OD,https://owcdn.net/img/6429c7b98e3ba.png,248,1491,Denmark
XOXO Esports,#Z180,https://owcdn.net/img/65165c25c3bfd.png,249,1491,Turkey
GTZ Esports,#Z1D7,https://owcdn.net/img/632a1a644a0fd.png,250,1491,Portugal
BLINDOHOLIK,#V1FC,https://www.vlr.gg/img/vlr/tmp/vlr.png,251,1490,International
Regnum Carya Esports,#M14K,https://owcdn.net/img/60d649259da4e.png,252,1487,Turkey
Génesis,#Y1S1,https://owcdn.net/img/68144cda3a158.png,253,1487,Spain
1Z,#Z1JY,https://owcdn.net/img/6705fe0ea3590.png,254,1486,Europe
Team Galaga,#W1RV,https://owcdn.net/img/65fa99f160265.png,255,1485,Spain
FATE X,#B1V7,https://owcdn.net/img/68a8d164d2db2.png,256,1485,France
SPACEGLIDERS,#B1BN,https://www.vlr.gg/img/vlr/tmp/vlr.png,257,1485,Portugal
Orkadia Esports,#V1M6,https://owcdn.net/img/67077bbbb31e8.png,258,1484,Ireland
WYLDE,#W1Q3,https://owcdn.net/img/678fd74d8cf14.png,259,1484,Ireland
who cars?,#QIM,https://owcdn.net/img/6421b69725c7d.png,260,1484,Denmark
Dortmund Esports,#Z142,https://owcdn.net/img/627ae2afb8143.png,261,1482,Germany
Next In Line,#X1JK,https://owcdn.net/img/6479d1277d694.png,262,1482,United Kingdom
UNIWAY,#X1MY,https://owcdn.net/img/67806b002f396.png,263,1481,Russia
fisk123,#Q1OF,https://www.vlr.gg/img/vlr/tmp/vlr.png,264,1479,Norway
IMPACT Esports,#X1U3,https://owcdn.net/img/686b4674bcb81.png,265,1477,Italy
AIGHT,#A1T7,https://owcdn.net/img/68aca86e37234.png,266,1476,Germany
Fractious Esports,#M1RV,https://owcdn.net/img/6799c3f254ad6.png,267,1475,Spain
Pushar Aldrig Nykter,#Q1JZ,https://www.vlr.gg/img/vlr/tmp/vlr.png,268,1474,International
NIGHTMARES Team,#M1Q2,https://www.vlr.gg/img/vlr/tmp/vlr.png,269,1473,Italy
Team Aku Aku,#T1HD,https://owcdn.net/img/65a384a5e88e4.png,270,1473,Spain
The Nordic Stars,#T1OE,https://www.vlr.gg/img/vlr/tmp/vlr.png,271,1471,International
Big Blue Charizard,#VOF,https://www.vlr.gg/img/vlr/tmp/vlr.png,272,1471,Germany
NEANLATIYONBOLM,#A1CI,https://owcdn.net/img/668cbb7298305.png,273,1469,Turkey
Tan'i Susanoo,#X1MP,https://www.vlr.gg/img/vlr/tmp/vlr.png,274,1469,Spain
G2 Gozen,#T1F5,https://owcdn.net/img/633822848a741.png,275,1469,Europe
Västerås Esportförening,#T1JY,https://owcdn.net/img/67ca198bebb2d.png,276,1468,Sweden
XPERION NXT,#A1CW,https://owcdn.net/img/6885d9be210cf.png,277,1467,Germany
Veni eSports,#ZTQ,https://owcdn.net/img/641fdb76e793c.png,278,1466,Germany
KOI,#Y1RV,https://owcdn.net/img/67667c7a563be.png,279,1465,Europe
Lundqvist Lightside,#B17T,https://owcdn.net/img/67baa67b5584b.png,280,1464,International
DVE Young Guns,#A1OD,https://www.vlr.gg/img/vlr/tmp/vlr.png,281,1464,Denmark
SIMIA Esports,#X170,https://www.vlr.gg/img/vlr/tmp/vlr.png,282,1463,International
Oversea,#Z1JZ,https://www.vlr.gg/img/vlr/tmp/vlr.png,283,1462,International
TEMPEZT,#Y1OF,https://www.vlr.gg/img/vlr/tmp/vlr.png,284,1462,International
Békéscsabai E-sport Egyesület,#T1PY,https://owcdn.net/img/6071b4770ca1e.png,285,1461,Hungary
FTW Leça FC Esports,#V1AE,https://owcdn.net/img/65bb53e2621b5.png,286,1459,Portugal
Fishing Rods,#Q10X,https://owcdn.net/img/653dc921d0b72.png,287,1456,Italy
Eclipse,#Z1AX,https://www.vlr.gg/img/vlr/tmp/vlr.png,288,1452,Ukraine
Wygers,#A1LC,https://owcdn.net/img/5f24845da0f74.png,289,1450,Spain
Ovation eSports,#Q1EZ,https://owcdn.net/img/607340d8ad155.png,290,1450,Europe
Valoja Päälle?,#Y1KC,https://www.vlr.gg/img/vlr/tmp/vlr.png,291,1448,International
The Rejects,#Z1KD,https://www.vlr.gg/img/vlr/tmp/vlr.png,292,1447,International
eXtreme Gaming,#Q1MU,https://owcdn.net/img/62eaa8ed56ab4.png,293,1447,Serbia
Buvik Esport,#T1KD,https://www.vlr.gg/img/vlr/tmp/vlr.png,294,1444,International
Digital Athletics,#M1J2,https://owcdn.net/img/622e8644004d9.png,295,1443,Turkey
Team Prestish,#X1R7,https://www.vlr.gg/img/vlr/tmp/vlr.png,296,1441,International
KAMK.GG,#V1KP,https://owcdn.net/img/62b48d3c61a75.png,297,1438,Finland
UKC Esport,#V1JX,https://www.vlr.gg/img/vlr/tmp/vlr.png,298,1436,Denmark
KPI Gaming,#W1N3,https://owcdn.net/img/67646c9580bbd.png,299,1436,Europe
QLASH,#YM0,https://owcdn.net/img/62efc0067ed80.png,300,1436,Italy
Gilas Ignite,#M1R6,https://owcdn.net/img/6828efe777b30.png,301,1435,International
Galakticos,#Y1KH,https://owcdn.net/img/63c5c07322f2d.png,302,1435,Turkey
Lyost,#WO0,https://owcdn.net/img/684e2be268ffc.png,303,1430,France
buchclub,#A1FA,https://www.vlr.gg/img/vlr/tmp/vlr.png,304,1428,Germany
UiA Kraken,#X1OF,https://www.vlr.gg/img/vlr/tmp/vlr.png,305,1427,International
Ascent Gaming,#B1KD,https://www.vlr.gg/img/vlr/tmp/vlr.png,306,1425,International
Dog Nation,#B156,https://owcdn.net/img/6454314d0b649.png,307,1425,Norway
WEARESOCOOL,#Q1MZ,https://owcdn.net/img/6814496503674.png,308,1425,Latvia
Hurricane Of Feathers,#Q1F0,https://owcdn.net/img/659a585f6aaf5.png,309,1420,Portugal
Ahlman Esports,#A1KC,https://owcdn.net/img/60218f9851f80.png,310,1419,Finland
PingPongPeek,#Y142,https://www.vlr.gg/img/vlr/tmp/vlr.png,311,1395,International
Möyhentäjät,#W1KC,https://www.vlr.gg/img/vlr/tmp/vlr.png,312,1392,Finland
